county_name,Year,Series,Permits
DeKalb,1988,Multi-family,4970.0
DeKalb,1988,Single-family,3517.0
DeKalb,1989,All,5000.0
DeKalb,1989,Multi-family,2576.0
DeKalb,1989,Single-family,2424.0
DeKalb,1990,All,3646.0
DeKalb,1990,Multi-family,1282.0
DeKalb,1990,Single-family,2364.0
DeKalb,1991,All,2279.0
DeKalb,1991,Multi-family,567.0
DeKalb,1991,Single-family,1712.0
DeKalb,1992,All,2517.0
DeKalb,1992,Multi-family,283.0
DeKalb,1992,Single-family,2234.0
DeKalb,1993,All,2501.0
DeKalb,1993,Multi-family,444.0
DeKalb,1993,Single-family,2057.0
DeKalb,1994,All,3326.0
DeKalb,1994,Multi-family,1356.0
DeKalb,1994,Single-family,1970.0
DeKalb,1995,All,2715.0
DeKalb,1995,Multi-family,896.0
DeKalb,1995,Single-family,1819.0
DeKalb,1996,All,3727.0
DeKalb,1996,Multi-family,1372.0
DeKalb,1996,Single-family,2355.0
DeKalb,1997,All,4763.0
DeKalb,1997,Multi-family,2065.0
DeKalb,1997,Single-family,2698.0
DeKalb,1998,All,5190.0
DeKalb,1998,Multi-family,1295.0
DeKalb,1998,Single-family,3895.0
DeKalb,1999,All,6851.0
DeKalb,1999,Multi-family,2475.0
DeKalb,1999,Single-family,4376.0
DeKalb,2000,All,6145.0
DeKalb,2000,Multi-family,1879.0
DeKalb,2000,Single-family,4266.0
DeKalb,2001,All,7575.0
DeKalb,2001,Multi-family,2856.0
DeKalb,2001,Single-family,4719.0
DeKalb,2002,All,7237.0
DeKalb,2002,Multi-family,3103.0
DeKalb,2002,Single-family,4134.0
DeKalb,2003,All,5106.0
DeKalb,2003,Multi-family,1175.0
DeKalb,2003,Single-family,3931.0
DeKalb,2004,All,6719.0
DeKalb,2004,Multi-family,2958.0
DeKalb,2004,Single-family,3761.0
DeKalb,2005,All,6336.0
DeKalb,2005,Multi-family,2989.0
DeKalb,2005,Single-family,3347.0
DeKalb,2006,All,4346.0
DeKalb,2006,Multi-family,1479.0
DeKalb,2006,Single-family,2867.0
DeKalb,2007,All,4912.0
DeKalb,2007,Multi-family,2790.0
DeKalb,2007,Single-family,2122.0
DeKalb,2008,All,3821.0
DeKalb,2008,Multi-family,3053.0
DeKalb,2008,Single-family,768.0
DeKalb,2009,All,323.0
DeKalb,2009,Multi-family,28.0
DeKalb,2009,Single-family,295.0
DeKalb,2010,All,432.0
DeKalb,2010,Multi-family,78.0
DeKalb,2010,Single-family,354.0
DeKalb,2011,All,580.0
DeKalb,2011,Multi-family,285.0
DeKalb,2011,Single-family,295.0
DeKalb,2012,All,673.0
DeKalb,2012,Multi-family,465.0
DeKalb,2012,Single-family,208.0
DeKalb,2013,All,1212.0
DeKalb,2013,Multi-family,876.0
DeKalb,2013,Single-family,336.0
DeKalb,2014,All,1231.0
DeKalb,2014,Multi-family,746.0
DeKalb,2014,Single-family,485.0
DeKalb,2015,All,2167.0
DeKalb,2015,Multi-family,1267.0
DeKalb,2015,Single-family,900.0
DeKalb,2016,All,2319.0
DeKalb,2016,Multi-family,894.0
DeKalb,2016,Single-family,1425.0
DeKalb,2017,All,3379.0
DeKalb,2017,Multi-family,1583.0
DeKalb,2017,Single-family,1796.0
DeKalb,2018,All,3673.0
DeKalb,2018,Multi-family,2223.0
DeKalb,2018,Single-family,1450.0
DeKalb,2019,All,2022.0
DeKalb,2019,Multi-family,29.0
DeKalb,2019,Single-family,1993.0
DeKalb,2020,All,2225.0
DeKalb,2020,Multi-family,347.0
DeKalb,2020,Single-family,1878.0
DeKalb,2021,All,2862.0
DeKalb,2021,Multi-family,973.0
DeKalb,2021,Single-family,1889.0
DeKalb,2022,All,2468.0
DeKalb,2022,Multi-family,1330.0
DeKalb,2022,Single-family,1138.0
DeKalb,2023,All,2276.0
DeKalb,2023,Multi-family,1565.0
DeKalb,2023,Single-family,711.0
DeKalb,2024,All,1240.0
