Year,Level,Name,FIPS,SF_permits,SF_value,MF_permits,MF_value,2U_permits,2U_value,3-4U_permits,3-4U_value,5+U_permits,5+U_value
2024,City/Other,Clinch County Unincorporated Area,13065160000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Clinch County Unincorporated Area,13065160000,0,0,0,0,0,0,0,0,0,0
2024,County,Cobb,13067,1143,384199356,461,83008706,4,928551,68,13195948,389,68884207
2025,County,Cobb,13067,988,387612248,799,212644698,0,0,6,1177156,793,211467542
2024,City/Other,Cobb County Unincorporated Area,13067161000,558,247530772,145,28572892,2,383151,49,8805900,94,19383841
2025,City/Other,Cobb County Unincorporated Area,13067161000,387,240274555,548,171394870,0,0,0,0,548,171394870
2024,City/Other,Cobbtown,13267162000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Cobbtown,13267162000,0,0,0,0,0,0,0,0,0,0
2024,County,Coffee,13069,92,16660245,18,1363400,0,0,12,1063400,6,300000
2025,County,Coffee,13069,73,15101270,15,1200000,0,0,15,1200000,0,0
2024,City/Other,Coffee County Unincorporated Area,13069164000,69,10920245,4,413400,0,0,4,413400,0,0
2025,City/Other,Coffee County Unincorporated Area,13069164000,56,10925230,0,0,0,0,0,0,0,0
2024,City/Other,Cohutta,13313165000,8,2284064,0,0,0,0,0,0,0,0
2025,City/Other,Cohutta,13313165000,13,3848217,0,0,0,0,0,0,0,0
2024,City/Other,College Park,13121169000,64,14917785,0,0,0,0,0,0,0,0
2025,City/Other,College Park,13121169000,38,10964121,252,42312000,0,0,0,0,252,42312000
2024,City/Other,Collins,13267170000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Collins,13267170000,0,0,0,0,0,0,0,0,0,0
2024,County,Colquitt,13071,63,14302644,34,3483399,34,3483399,0,0,0,0
2025,County,Colquitt,13071,81,23961903,30,3483750,30,3483750,0,0,0,0
2024,City/Other,Colquitt County Unincorporated Area,13071172000,45,10334484,0,0,0,0,0,0,0,0
2025,City/Other,Colquitt County Unincorporated Area,13071172000,48,14262890,0,0,0,0,0,0,0,0
2024,County,Columbia,13073,1184,243270880,29,4208848,4,680000,25,3528848,0,0
2025,County,Columbia,13073,1141,240399494,72,10327146,6,840000,35,5354636,31,4132510
2024,City/Other,Columbia County Unincorporated Area,13073173000,1024,201736341,0,0,0,0,0,0,0,0
2025,City/Other,Columbia County Unincorporated Area,13073173000,943,185774946,0,0,0,0,0,0,0,0
2024,City/Other,Columbus,13215174000,261,83333042,30,3090180,0,0,0,0,30,3090180
2025,City/Other,Columbus,13215174000,230,71934582,30,3090180,0,0,0,0,30,3090180
2024,City/Other,Commerce,13157176000,193,56504911,0,0,0,0,0,0,0,0
2025,City/Other,Commerce,13157176000,164,48983120,0,0,0,0,0,0,0,0
2024,City/Other,Conyers,13247178000,179,66504043,0,0,0,0,0,0,0,0
2025,City/Other,Conyers,13247178000,163,53166180,0,0,0,0,0,0,0,0
2024,County,Cook,13075,47,9571937,0,0,0,0,0,0,0,0
2025,County,Cook,13075,53,13050587,225,14015088,26,1628000,44,4285000,155,8102088
2024,City/Other,Cook County Unincorporated Area,13075179000,22,4554569,0,0,0,0,0,0,0,0
2025,City/Other,Cook County Unincorporated Area,13075179000,31,8254000,225,14015088,26,1628000,44,4285000,155,8102088
2024,City/Other,Cordele,13081181000,3,800000,0,0,0,0,0,0,0,0
2025,City/Other,Cordele,13081181000,3,800000,0,0,0,0,0,0,0,0
2024,City/Other,Cornelia,13137184000,31,5614095,0,0,0,0,0,0,0,0
2025,City/Other,Cornelia,13137184000,77,18775562,0,0,0,0,0,0,0,0
2024,City/Other,Covington,13217185000,315,127470038,732,92702287,18,4605826,48,13345748,666,74750713
2025,City/Other,Covington,13217185000,255,93787467,0,0,0,0,0,0,0,0
2024,County,Coweta,13077,950,457856891,12,4262796,0,0,4,1483788,8,2779008
2025,County,Coweta,13077,751,352667002,0,0,0,0,0,0,0,0
2024,City/Other,Coweta County Unincorporated Area,13077186000,718,376436376,0,0,0,0,0,0,0,0
2025,City/Other,Coweta County Unincorporated Area,13077186000,510,258215142,0,0,0,0,0,0,0,0
2024,County,Crawford,13079,43,15807000,0,0,0,0,0,0,0,0
2025,County,Crawford,13079,29,8533914,0,0,0,0,0,0,0,0
2024,City/Other,Crawford County,13079188000,43,15807000,0,0,0,0,0,0,0,0
2025,City/Other,Crawford County,13079188000,29,8533914,0,0,0,0,0,0,0,0
2024,County,Crisp,13081,22,6333000,0,0,0,0,0,0,0,0
2025,County,Crisp,13081,27,7852907,0,0,0,0,0,0,0,0
2024,City/Other,Crisp County Unincorporated Area,13081190000,18,5493000,0,0,0,0,0,0,0,0
2025,City/Other,Crisp County Unincorporated Area,13081190000,23,7012907,0,0,0,0,0,0,0,0
2024,City/Other,Cumming,13117192000,283,81333399,782,117965415,0,0,23,4600000,759,113365415
2025,City/Other,Cumming,13117192000,148,43810470,34,5760826,2,323152,4,615150,28,4822524
2024,City/Other,Cusseta-Chattahoochee County,13053144000,1,408945,0,0,0,0,0,0,0,0
2025,City/Other,Cusseta-Chattahoochee County,13053144000,3,875000,0,0,0,0,0,0,0,0
2024,City/Other,Cuthbert,13243194000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Cuthbert,13243194000,2,86000,0,0,0,0,0,0,0,0
2024,City/Other,Dacula,13135195000,217,49316687,224,25597835,0,0,0,0,224,25597835
2025,City/Other,Dacula,13135195000,96,25973862,96,11786926,0,0,0,0,96,11786926
2024,County,Dade,13083,9,1690000,0,0,0,0,0,0,0,0
2025,County,Dade,13083,5,1371845,4,646304,4,646304,0,0,0,0
2024,City/Other,Dahlonega,13187197000,57,22957850,0,0,0,0,0,0,0,0
2025,City/Other,Dahlonega,13187197000,65,25562000,0,0,0,0,0,0,0,0
2024,City/Other,Dallas,13223199000,135,47424451,0,0,0,0,0,0,0,0
2025,City/Other,Dallas,13223199000,165,56915506,0,0,0,0,0,0,0,0
2024,City/Other,Damascus,13099201000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Damascus,13099201000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Danielsville,13195202000,12,3451060,12,1722192,0,0,0,0,12,1722192
2025,City/Other,Danielsville,13195202000,0,0,0,0,0,0,0,0,0,0
